Name,X1,X2,P1,P2,Line,Label
STRT 4 of BRANCH /P-ME003-001/B10,-146,-147,-329.962,-328.9921,1,26
BEND 2 of BRANCH /P-ME003-001/B10,-145,-146,-329.962,-329.962,1,26
STRT 3 of BRANCH /P-ME003-001/B10,-144,-145,-340.5426,-329.962,1,26
BEND 1 of BRANCH /P-ME003-001/B10,-143,-144,-340.5426,-340.5426,1,26
STRT 2 of BRANCH /P-ME003-001/B10,-142,-143,-345.2157,-340.5426,1,26
DAMPER 1 of BRANCH /P-ME003-001/B10,-141,-142,-381.2875,-345.2157,1,26
STRT 1 of BRANCH /P-ME003-001/B10,-140,-141,-383.051,-381.2875,1,26
DAMPER 1 of BRANCH /P-ME003-901/B2,-139,-140,-419.6518,-383.051,1,26
BEND 1 of BRANCH /P-ME003-001/B8,-138,-139,-419.6518,-419.6518,1,26
STRT 1 of BRANCH /P-ME003-001/B8,-28,-138,-420.5586,-419.6518,1,26
FLEXIBLE 1 of BRANCH /P-ME003-013/B3,-134,-135,-2.4017,0,1015,27
STRT 1 of BRANCH /P-ME003-013/B3,-133,-134,-2.5713,-2.4017,15,27
FLEXIBLE 1 of BRANCH /P-ME003-013/B4,-136,-137,-2.4017,0,1014,28
STRT 6 of BRANCH /P-ME003-013/B2,-133,-136,-2.6052,-2.4017,14,28
TEE 1 of BRANCH /P-ME003-013/B2,-133,-133,-2.5713,-2.6052,-8888,29
TEE 1 of BRANCH /P-ME003-013/B2,-132,-133,-2.9864,-2.6052,14,30
STRT 5 of BRANCH /P-ME003-013/B2,-131,-132,-8.3186,-2.9864,14,30
BEND 2 of BRANCH /P-ME003-013/B2,-130,-131,-8.3186,-8.3186,14,30
STRT 4 of BRANCH /P-ME003-013/B2,-129,-130,-8.7522,-8.3186,14,30
BEND 1 of BRANCH /P-ME003-013/B2,-128,-129,-8.7522,-8.7522,14,30
STRT 3 of BRANCH /P-ME003-013/B2,-127,-128,-10.2866,-8.7522,14,30
STRT 2 of BRANCH /P-ME003-013/B2,-126,-127,-20.7223,-10.2866,14,30
STRT 1 of BRANCH /P-ME003-013/B2,-125,-126,-22.1518,-20.7223,14,30
STRT 6 of BRANCH /P-ME003-001/B3,-116,-125,-45.5905,-22.1518,14,30
FLEXIBLE 1 of BRANCH /P-ME003-001/B1,-123,-124,-2.4017,0,1024,31
STRT 3 of BRANCH /P-ME003-001/B1,-120,-123,-2.5917,-2.4017,24,31
FLEXIBLE 1 of BRANCH /P-ME003-001/B2,-121,-122,-2.4017,0,1023,32
STRT 1 of BRANCH /P-ME003-001/B2,-120,-121,-2.6591,-2.4017,23,32
TEE 1 of BRANCH /P-ME003-001/B1,-120,-120,-2.6591,-2.5917,-8888,33
TEE 1 of BRANCH /P-ME003-001/B1,-119,-120,-3.0403,-2.6591,23,34
STRT 2 of BRANCH /P-ME003-001/B1,-118,-119,-8.3725,-3.0403,23,34
BEND 1 of BRANCH /P-ME003-001/B1,-117,-118,-8.3725,-8.3725,23,34
STRT 1 of BRANCH /P-ME003-001/B1,-116,-117,-8.9094,-8.3725,23,34
TEE 1 of BRANCH /P-ME003-001/B3,-116,-116,-8.9094,-45.5905,-8888,35
TEE 1 of BRANCH /P-ME003-001/B3,-115,-116,-46.9753,-45.5905,14,36
STRT 5 of BRANCH /P-ME003-001/B3,-114,-115,-70.6903,-46.9753,14,36
BEND 4 of BRANCH /P-ME003-001/B3,-113,-114,-70.6903,-70.6903,14,36
STRT 4 of BRANCH /P-ME003-001/B3,-112,-113,-73.8754,-70.6903,14,36
BEND 3 of BRANCH /P-ME003-001/B3,-111,-112,-73.8754,-73.8754,14,36
STRT 3 of BRANCH /P-ME003-001/B3,-110,-111,-89.4545,-73.8754,14,36
BEND 2 of BRANCH /P-ME003-001/B3,-109,-110,-89.4545,-89.4545,14,36
STRT 2 of BRANCH /P-ME003-001/B3,-108,-109,-92.6396,-89.4545,14,36
BEND 1 of BRANCH /P-ME003-001/B3,-107,-108,-92.6396,-92.6396,14,36
