=469792361/37028,STRT 1 of BRANCH /P-ME003-013/B2,,=469792361/36970,,,,,,,,,,,160,,,5.7,-22.2,1.4
=469792361/36970,STRT 6 of BRANCH /P-ME003-001/B3,,=469792361/36952,,,,,,,,,,,160,,,5.7,-45.6,23.4
=469792361/37016,FLEXIBLE 1 of BRANCH /P-ME003-001/B1,,=469792361/37012,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469792361/37012,STRT 3 of BRANCH /P-ME003-001/B1,,=469792361/37010,,,,,,,,,,,80,,,2.8,-2.6,0.2
=469792361/37018,FLEXIBLE 1 of BRANCH /P-ME003-001/B2,,=469792361/37017,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469792361/37017,STRT 1 of BRANCH /P-ME003-001/B2,,=469792361/37010,,,,,,,,,,,80,,,2.8,-2.7,0.3
=469792361/37010,TEE 1 of BRANCH /P-ME003-001/B1,,=469792361/37005,,,,,,,,,,,160,,,5.7,-3,0.4
=469792361/37005,STRT 2 of BRANCH /P-ME003-001/B1,,=469792361/37007,,,,,,,,,,,160,,,5.7,-8.4,5.3
=469792361/37007,BEND 1 of BRANCH /P-ME003-001/B1,,=469792361/37004,,,,,,,,,,,160,,,5.7,-8.4,0
=469792361/37004,STRT 1 of BRANCH /P-ME003-001/B1,,=469792361/36952,,,,,,,,,,,160,,,5.7,-8.9,0.5
=469792361/36952,TEE 1 of BRANCH /P-ME003-001/B3,,=469792361/37813,,,,,,,,,,,320,,,11.3,-47,1.4
=469792361/37813,STRT 5 of BRANCH /P-ME003-001/B3,,=469792361/36968,,,,,,,,,,,320,,,11.3,-70.7,23.7
=469792361/36968,BEND 4 of BRANCH /P-ME003-001/B3,,=469792361/37812,,,,,,,,,,,320,,,11.3,-70.7,0
=469792361/37812,STRT 4 of BRANCH /P-ME003-001/B3,,=469792361/36967,,,,,,,,,,,320,,,11.3,-73.9,3.2
=469792361/36967,BEND 3 of BRANCH /P-ME003-001/B3,,=469792361/36954,,,,,,,,,,,320,,,11.3,-73.9,0
=469792361/36954,STRT 3 of BRANCH /P-ME003-001/B3,,=469792361/36965,,,,,,,,,,,320,,,11.3,-89.5,15.6
