No.,SecID,Name,Qflow[m3/h],Qflow[m3/h],SecType,Width[mm],Height[mm],Diam[m],Equiv. Diam[m],Vel[m/s],Pvel[Pa],Length[mm],Rough,DP/L[Pa/m],DP_Fric[Pa],FITTING T,Para1,Para2,Corr,C[-],DP[Pa],FITTING S1,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S2,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S3,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S4,Para1,Para2,Para3,Corr,C[-],DP[Pa],DP_Total[Pa],DP_Unbal[Pa],RoomP[Pa],Pres[Pa],Psum[Pa],56,57,58,59,TreeID,TreeLevel,BranLevel,BranID,ElemID,PathInfo,cDesc
-423 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 6 of BRANCH /P-ME003-013/B1, =469784169/101904,140,140,CIRC,0,0,100,100,4.9515,14.7103,627,0.09,3.7293,2.3383,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,2.3383,0,0,-41.7822,427.5211,,,,,-9,62,7,70,3,-1,STRT 6 of BRANCH /P-ME003-013/B1
-422 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 5 of BRANCH /P-ME003-013/B1, =469784169/101902,140,140,CIRC,0,0,100,100,4.9515,14.7103,2200,0.09,3.7293,8.2044,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,8.2044,0,0,-49.9866,425.1829,,,,,-9,61,7,70,2,-1,STRT 5 of BRANCH /P-ME003-013/B1
-421 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦£ STRT 4 of BRANCH /P-ME003-013/B1, =469784169/91781,140,140,CIRC,0,0,100,100,4.9515,14.7103,300,0.09,3.7293,1.1188,ED5-3(S),0,0,0,0.00025033,0.0036825,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,1.1225,0,0,-51.1091,416.9784,,,,,-3,60,7,70,1,-1,STRT 4 of BRANCH /P-ME003-013/B1
-420 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ ¡¡ FLEXIBLE 1 of BRANCH /P-ME003-013/B6, =469784169/91906,80,80,CIRC,0,0,100,100,2.8294,4.8034,0,0.09,0,0,,0,0,0,0,0,,0,0,0,0,0,0,SUCTION,0.5,0,0,0,0.5,2.4017,,0,0,0,0,0,0,,0,0,0,0,0,0,2.4017,0,0,-2.4017,424.7213,,,,,-1,66,8,69,3,-1003,FLEXIBLE 1 of BRANCH /P-ME003-013/B6
-419 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ ¡¡ STRT 4 of BRANCH /P-ME003-013/B6, =469784169/91923,80,80,CIRC,0,0,100,100,2.8294,4.8034,22,0.09,1.3505,0.029711,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.029711,0,0,-2.4314,422.3196,,,,,-9,65,8,69,2,-3,STRT 4 of BRANCH /P-ME003-013/B6
-418 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ ¦£ STRT 3 of BRANCH /P-ME003-013/B6, =469784169/90564,80,80,CIRC,0,0,100,100,2.8294,4.8034,100,0.09,1.3505,0.13505,ED5-3(S),0,0,0,0.000192,0.00092225,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.13597,0.037699,0,-2.5674,422.2899,,,,,-3,64,8,69,1,-3,STRT 3 of BRANCH /P-ME003-013/B6
-417 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ ¦¢ FLEXIBLE 1 of BRANCH /P-ME003-013/B5, =469784169/91909,80,80,CIRC,0,0,100,100,2.8294,4.8034,0,0.09,0,0,,0,0,0,0,0,,0,0,0,0,0,0,SUCTION,0.5,0,0,0,0.5,2.4017,,0,0,0,0,0,0,,0,0,0,0,0,0,2.4017,0,0,-2.4017,424.759,,,,,-1,65,8,68,2,-1002,FLEXIBLE 1 of BRANCH /P-ME003-013/B5
-416 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ ¦§ STRT 1 of BRANCH /P-ME003-013/B5, =469784169/91908,80,80,CIRC,0,0,100,100,2.8294,4.8034,150,0.09,1.3505,0.20258,ED5-3(B),0,0,0,0.000168,0.00080697,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.20338,0,0,-2.6051,422.3573,,,,,-3,64,8,68,1,-2,STRT 1 of BRANCH /P-ME003-013/B5
-415 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ TEE 1 of BRANCH /P-ME003-013/B6, =469784169/90563,160,160,CIRC,0,0,100,100,5.6588,19.2135,80,0.09,4.7651,0.38121,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.38121,0,0,-2.9863,422.1539,,,,,-2,63,7,67,4,-2,TEE 1 of BRANCH /P-ME003-013/B6
-414 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¦¢ STRT 2 of BRANCH /P-ME003-013/B6, =469784169/90562,160,160,CIRC,0,0,100,100,5.6588,19.2135,1119,0.09,4.7651,5.3322,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,5.3322,0,0,-8.3185,421.7727,,,,,-9,62,7,67,3,-2,STRT 2 of BRANCH /P-ME003-013/B6
